,Title,Subject,List,Send Date,Send Weekday,Total Recipients,Successful Deliveries,Soft Bounces,Hard Bounces,Total Bounces,Times Forwarded,Forwarded Opens,Unique Opens,Open Rate,Total Opens,Unique Clicks,Click Rate,Total Clicks,Unsubscribes,Abuse Complaints,Times Liked on Facebook,Folder Id,Unique Id,Total Orders,Total Gross Sales,Total Revenue
0,Deepnews digest 6,South China in the Streets,Deepnews Digest,2019-06-14 11:23:00,Friday,1225,1189,13,23,36,0,0,681,57.28,1278,114,9.59,198,14,0,0,4459,599a1c0720,0,0,0
1,Deepnews digest 7,Libra Rising,Deepnews Digest,2019-06-21 11:00:00,Friday,1258,1245,12,1,13,0,0,708,56.87,1557,154,12.37,359,5,0,0,4459,914a11ffca,0,0,0
2,Deepnews digest 8,"Enter Candidates, Stage Left",Deepnews Digest,2019-06-28 11:02:00,Friday,1298,1284,13,1,14,0,0,671,52.26,1290,126,9.81,265,5,0,0,4459,a2a484d777,0,0,0
3,Deepnews Digest 9,Hong Kong Protests Reignite,Deepnews Digest,2019-07-05 11:02:00,Friday,1489,1474,13,2,15,0,0,740,50.2,1301,81,5.5,154,15,0,0,4459,08a6d3eb5a,0,0,0
4,Deepnews Digest 10,Iran's Enrichment Revived,Deepnews Digest,2019-07-12 11:42:00,Friday,1588,1572,14,2,16,0,0,788,50.13,1277,91,5.79,187,10,0,0,4459,9c7b63ad83,0,0,0
5,Deepnews Digest 11,Boris Johnson and the Hunt for Downing Street,Deepnews Digest,2019-07-19 11:02:00,Friday,1627,1612,4,11,15,0,0,849,52.67,1567,143,8.87,321,10,1,0,4459,136f148fea,0,0,0
6,Deepnews Digest 12,FaceApp faces facts,Deepnews Digest,2019-07-26 11:12:00,Friday,1646,1641,5,0,5,0,0,802,48.87,1306,112,6.83,192,6,1,0,4459,69f3f086ea,0,0,0
7,Deepnews Digest 13: Street smarts,Street smarts,Deepnews Digest,2019-08-02 11:01:00,Friday,1714,1709,3,2,5,0,0,918,53.72,1778,130,7.61,301,10,0,0,4459,7b7b4ffdba,0,0,0
8,Deepnews Digest 14: Under the Influencers,Under the Influencers,Deepnews Digest,2019-08-09 11:03:00,Friday,1765,1761,3,1,4,0,0,968,54.97,1698,213,12.1,418,7,1,0,4459,ff0257f0b7,0,0,0
9,Deepnews Digest 15: Self-Drive Yourself Crazy,Self-Drive Yourself Crazy,Deepnews Digest,2019-08-16 11:25:00,Friday,1831,1824,6,1,7,0,0,992,54.39,1745,150,8.22,274,12,0,0,4459,47f631a602,0,0,0
10,Deepnews Digest 16: Extremisms and the Threat to Multilateralism,Extremisms and the Threat to Multilateralism,Deepnews Digest,2019-08-23 11:41:00,Friday,1848,1842,5,1,6,0,0,908,49.29,1542,132,7.17,258,6,0,0,4459,f275104d60,0,0,0
11,Deepnews Digest 17: Taking Your Face's Value,Taking Your Face's Value,Deepnews Digest,2019-08-30 11:27:00,Friday,1855,1851,4,0,4,0,0,954,51.54,1670,124,6.7,261,6,0,0,4459,017cdb4e42,0,0,0
12,"Deepnews Digest 18: Ebola, Looking Back and Back Again","Ebola, Looking Back and Back Again",Deepnews Digest,2019-09-06 01:25:00,Friday,1999,1990,5,4,9,0,0,893,44.87,1402,60,3.02,105,4,0,0,4459,fcc54570d3,0,0,0
13,Deepnews Digest 19: E-Cig Smoke Signals,E-Cig Smoke Signals,Deepnews Digest,2019-09-13 01:40:00,Friday,2060,2057,3,0,3,0,0,994,48.32,1626,121,5.88,212,11,0,0,4459,0df9657fe5,0,0,0
14,Deepnews Digest 20: Struck Oil,Struck Oil,Deepnews Digest,2019-09-20 10:58:00,Friday,2088,2084,2,2,4,0,0,1074,51.54,1771,119,5.71,206,11,0,0,4459,26f414152a,0,0,0
15,Deepnews Digest 21: Thomas Cooked,Thomas Cooked,Deepnews Digest,2019-09-27 11:09:00,Friday,2107,2104,2,1,3,0,0,1043,49.57,1885,215,10.22,340,8,0,0,4459,d6959bd1d2,0,0,0
16,Deepnews Digest 22: Ripe for Impeachment?,Ripe for Impeachment?,Deepnews Digest,2019-10-04 12:02:00,Friday,2182,2179,3,0,3,0,0,1100,50.48,1786,178,8.17,271,6,0,0,4459,baba694f2e,0,0,0
17,Deepnews Digest 23: Ankara Attacks,Ankara Attacks,Deepnews Digest,2019-10-11 10:57:00,Friday,2229,2223,3,3,6,0,0,1126,50.65,1865,131,5.89,267,8,0,0,4459,620c0145f1,0,0,0
18,Deepnews Digest 24: The Deepnews on ... 3D Printing,The Deepnews on ... 3D Printing,Deepnews Digest,2019-10-18 12:30:00,Friday,2269,2263,3,3,6,0,0,979,43.26,1584,114,5.04,229,12,0,0,4459,e807cd8462,0,0,0
